affiliation,institute,address
"Beijing National Laboratory for Molecular Sciences, State Key Laboratory of Molecular Reaction Dynamics, Institute of Chemistry, Chinese Academy of Sciences, Beijing 100190, China",Institute of Chemistry,"Pasadena, CA 91125, USA"
"Department of Zoology, GC University Faisalabad, Faisalabad 38000, Pakistan",GC University Faisalabad,"Government College University, Zoology Block, Gurunanakpura, Faisalabad, Punjab 38000, Pakistan"
"Department of Pharmaceutical Chemistry, College of Pharmacy, King Saud University, PO Box 2457, Riyadh 11451, Saudi Arabia",King Saud University,"JMMH+8P8, Amr Ibn Alaas St, Ulaishah, Riyadh 12743, Saudi Arabia"
"Department of Biochemistry, College of Science, King Saud University, PO Box 22452, Riyadh 11451, Saudi Arabia",King Saud University,"JMMH+8P8, Amr Ibn Alaas St, Ulaishah, Riyadh 12743, Saudi Arabia"
"Department of Nephrology, Zhongshan Hospital, Fudan University, No180, Fenglin Road, Xuhui District, Shanghai, 200032, China",Fudan University,"111 Yi Xue Yuan Lu, Xu Hui Qu, Shang Hai Shi, China, 200031"
"Department of Nephrology, Zhongshan Hospital, Fudan University, No180, Fenglin Road, Xuhui District, Shanghai, 200032, China shiyiqin@zs-hospitalshcn",Fudan University,"180 Feng Lin Lu, Xu Hui Qu, Shang Hai Shi, China, 200031"
"Department of Nephrology, Zhongshan Hospital, Fudan University, No180, Fenglin Road, Xuhui District, Shanghai, 200032, China dingxiaoqiang@zs-hospitalshcn",Fudan University,"180 Feng Lin Lu, Xu Hui Qu, Shang Hai Shi, China, 200031"
"Center for Translational and Clinical Research, Department of Proteomics, School of Medicine, University of Zagreb, 10000 Zagreb, Croatia",University of Zagreb,"10000, Gornji Grad - Medveščak, Zagreb, Croatia"
"Department of Pulmonology, University Hospital Dubrava, 10000 Zagreb, Croatia",University Hospital Dubrava,"Avenija Gojka Šuška 6, 10000, Zagreb, Croatia"
"Department of of Clinical Immunology, Allergology and Rheumatology, University Hospital Dubrava, 10000 Zagreb, Croatia",University Hospital Dubrava,"Avenija Gojka Šuška 6, 10000, Zagreb, Croatia"
"Department of Nephrology, Arterial Hypertension, Dialysis and Transplantation, University Hospital Center Zagreb, 10000 Zagreb, Croatia",University Hospital Center Zagreb,"Ulica Mije Kišpatića 12, 10000, Zagreb, Croatia"
"Department of Anatomy, ""Drago Perovic"", School of Medicine, University of Zagreb, 10000 Zagreb, Croatia",University of Zagreb,"10000, Gornji Grad - Medveščak, Zagreb, Croatia"
"Department of Endocrinology, Wenzhou Hospital of Traditional Chinese Medicine Affiliated to Zhejiang University of Traditional Chinese Medicine, Wenzhou 325000, Zhejiang Province, China",Wenzhou Hospital of Traditional Chinese Medicine Affiliated to Zhejiang University of Traditional Chinese Medicine,"China, Zhe Jiang Sheng, Wen Zhou Shi, Lu Cheng Qu, 蚊尾路六虹钢材市场西大门对面 邮政编码: 325029"
"Department of Endocrinology, Yongjia Hospital of Traditional Chinese Medicine, Wenzhou 325000, Zhejiang Province, China",Unparsed,"27 Da Shi Men, Lu Cheng Qu, Wen Zhou Shi, Zhe Jiang Sheng, China, 325099"
"Department of Acupuncture, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou 325000, Zhejiang Province, China jyygl9397@126com",The First Affiliated Hospital of Wenzhou Medical University,"Ouhai District, Wenzhou, China, 325015"
"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, United States",University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA"
"Department of Microbiology, Blavatnik Institute, Harvard Medical School, Boston, Massachusetts, USA",Blavatnik Institute,"Building C, 240 Longwood Ave, Boston, MA 02115, USA"
"SANKEN (The Institute of Scientific and Industrial Research), Osaka University, Ibaraki, Osaka, Japan",Osaka University,"8-1 Mihogaoka, Ibaraki, Osaka 567-0047, Japan"
"Cornell Institute of Host-Microbe Interactions and Disease, Cornell University, Ithaca, New York, USA",Cornell University,"304, Rice Hall, 340 Tower Rd, Ithaca, NY 14853, USA"
"Lacerta Therapeutics, Alachua, FL, USA",Unparsed,"14189 N W 129th Way, Alachua, FL 32615, USA"
"University of Florida College of Medicine, Gainesville, FL, USA",University of Florida College of Medicine,"1600 SW Archer Rd, Gainesville, FL 32610, USA"
"Coastal Plains Soil, Water, and Plant Research Center, Agricultural Research Service-USDA, Florence SC, USA",Unparsed,"2611 W Lucas St, Florence, SC 29501, USA"
"Department of Soil and Crop Sciences, Colorado State University, Fort Collins CO, USA",Colorado State University,"307 University Ave, Fort Collins, CO 80521, USA"
"National Forage Seed Production Research Center, Agricultural Research Service-USDA, Corvallis OR, USA",Unparsed,"3450 SW Campus Way, Corvallis, OR 97331, USA"
"Soil and Water Management Research Unit, Agricultural Research Service-USDA, St Paul MN, USA",Unparsed,"1991 Upper Buford Cir # 454, St Paul, MN 55108, USA"
"National Health and Environmental Effects Research Laboratory, US Environmental Protection Agency, Corvallis OR, USA",National Health and Environmental Effects Research Laboratory,"200 SW 35th St, Corvallis, OR 97333, USA"
"Department of Medicine, The University of Washington, Seattle, Washington",The University of Washington,"1959 NE Pacific St, Seattle, WA 98195, USA"
"Clinical Research Division, The Fred Hutchinson Cancer Research Center, Seattle, Washington",Unparsed,"1100 Fairview Ave N, Seattle, WA 98109, USA"
"Renibus Therapeutics, Southlake, Texas",Unparsed,"181 Grand Ave Suite 225, Southlake, TX 76092, USA"
"Department of Medicine, The University of California, Irvine, California",The University of California,"1001 Health Sciences Rd, Irvine, CA 92617, USA"
"Division of Endodontics, Department of Restorative Sciences, School of Dentistry, University of Minnesota, Minneapolis, Minnesota, USA",University of Minnesota,"Malcolm Moos Health Sciences Tower, 515 Delaware St SE Room 8-166, Minneapolis, MN 55455, USA"
"Division of Basic Sciences, Department of Diagnostic and Biological Sciences, School of Dentistry, University of Minnesota, Minneapolis, Minnesota, USA",University of Minnesota,"Malcolm Moos Health Sciences Tower, 515 Delaware St SE, Minneapolis, MN 55455, USA"
"Division of Basic & Translational Research, Department of Surgery, University of Minnesota, Minneapolis, Minnesota, USA",University of Minnesota,"McGuire Translational Research Facility, 2001 6th St SE, Minneapolis, MN 55455, USA"
"The Florey Institute for Host-Pathogen Interactions, University of Sheffield, Sheffield S10 2TN, United Kingdom",University of Sheffield,"Sheffield S10 2TN, UK"
"The Department of Chemistry, University of Sheffield, Sheffield S3 7HF, United Kingdom",University of Sheffield,"Dainton Building, The University of Sheffield, Brook Hill, Sheffield S3 7HF, UK"
"Department of Chemistry and Biochemistry and Department of Biological Sciences, University of Delaware, Newark, Delaware 19716, United States",University of Delaware,"Brown Laboratory, Newark, DE 19716, USA"
"Contrafect Corporation, Yonkers, NY 10701, USA",Unparsed,"28 Wells Ave 3rd floor, Yonkers, NY 10701, USA"
"Animal Biosciences and Biotechnology Laboratory, United States Department of Agricultural (USDA), Agricultural Research Service, Baltimore Avenue, Beltsville, MD 10300, USA",Animal Biosciences and Biotechnology Laboratory,"Baltimore Ave, Beltsville, MD, USA"
"Department of Biology, Morgan State University, Baltimore, MD 21251, USA",Morgan State University,"Mudd Hall 144, 3400 N Charles St, Baltimore, MD 21218, USA"
"Vietnam Academy of Science and Technology, University of Science and Technology of Hanoi, Hanoi, Vietnam maihuong@ustheduvn",University of Science and Technology of Hanoi,"Nhà A6, 18 Hoàng Quốc Việt, Nghĩa Đô, Cầu Giấy, Hà Nội, Vietnam"
"Vietnam Academy of Science and Technology, University of Science and Technology of Hanoi, Hanoi, Vietnam",University of Science and Technology of Hanoi,"Nhà A6, 18 Hoàng Quốc Việt, Nghĩa Đô, Cầu Giấy, Hà Nội, Vietnam"
"Soil Chemistry and Chemical Soil Quality Group, Wageningen University and Research, Wageningen, Netherlands",Wageningen University and Research,"Droevendaalsesteeg 1, 6708 PB Wageningen, Netherlands"
"INRS - ETE, 490 Rue de la Couronne, Québec, Canada; EcotoQ, 490 Rue de la Couronne, Québec, Canada Electronic address: fortincl@eteinrsca",Unparsed,"INRS - ETE, 490 Couronne St, Québec City, QC G1K 9A9, Canada"
"Ecology and Evolutionary Biology, University of California Irvine, Irvine, CA, United States",University of California Irvine,"321 Steinhaus Hall, Irvine, CA 92697, USA"
"Department of Earth System Science, University of California Irvine, Irvine, CA, United States",University of California Irvine,"3200 Croul Hall St, Irvine, CA 92697, USA"
"Department of Microbiology and Plant Pathology, University of California, Riverside, CA, United States",University of California,"Riverside, CA 92507, USA"
"Department of Dermatology, University of Rochester, Rochester, New York 14627, United States",University of Rochester,"40 Celebration Dr, Rochester, NY 14620, USA"
"Department of Orthopaedics, Center for Musculoskeletal Research, University of Rochester, Rochester, New York 14627, United States",University of Rochester,"601 Elmwood Ave, Rochester, NY 14642, USA"
"Department of Biomedical Engineering, University of Rochester, Rochester, New York 14627, United States",University of Rochester,"601 Elmwood Ave, Rochester, NY 14642, USA"
"Department of Biostatistics and Computational Biology, University of Rochester, Rochester, New York 14627, United States",University of Rochester,"Crittenden Blvd, Rochester, NY 14642, USA"
"Adarza BioSystems, Inc, St Louis, Missouri 63146, United States",Unparsed,"2184 Welsch Industrial Ct, St. Louis, MO 63146, USA"
"Nucleus for Research in Biological Sciences (NUPEB), Federal University of Ouro Preto, Ouro Preto 35400-000, Brazil",Federal University of Ouro Preto,"Rua Professor Paulo Magalhães Gomes, 122 - Bauxita, Ouro Preto - MG, 35400-000, Brazil"
"Laboratory of Biology of Cell Interactions, Department of Morphology, Federal University of Minas Gerais (UFMG), Belo Horizonte 31270-901, Brazil",Federal University of Minas Gerais (UFMG),"Av. Pres. Antônio Carlos, 6627 - Pampulha, Belo Horizonte - MG, 31270-901, Brazil"
"Laboratory of Pharmaceutics and Nanotechnology (LDGNano), School of Pharmacy, Federal University of Ouro Preto, Ouro Preto 35400-000, Brazil",Federal University of Ouro Preto,"R. Nove, 27 - Bauxita, Ouro Preto - MG, 35400-000, Brazil"
"Integrated Research Group on Biomarkers, René Rachou Research Center, Oswaldo Cruz Foundation, Belo Horizonte 30190-009, Brazil",Unparsed,"Av. Augusto de Lima, 1715 - Barro Preto, Belo Horizonte - MG, 30190-002, Brazil"
"Laboratory of Diagnosis and Monitoring Biomarkers, René Rachou Research Center, Oswaldo Cruz Foundation, Belo Horizonte 30190-009, Brazil",Laboratory of Diagnosis and Monitoring Biomarkers,"9381 Judicial Dr Suite 120, San Diego, CA 92121, USA"
"Laboratory of Microorganism Biotechnology, Federal University of São João Del-Rei (UFSJ), Midwest Campus, Divinópolis 35501-296, Brazil",Federal University of São João Del-Rei (UFSJ),"Praça Frei Orlando, 170 - Centro, São João del Rei - MG, 36307-352, Brazil"
"Laboratory of Biomaterials and Experimental Pathology, Institute of Exact and Biological Sciences, Federal University of Ouro Preto, Ouro Preto 35402-136, Brazil",Federal University of Ouro Preto,"R. Quatro, 786 - Bauxita, Ouro Preto - MG, 35402-136, Brazil"
"Institute for Clinical Chemistry and Laboratory Medicine, Faculty of Medicine, Technische Universität Dresden, 01307 Dresden, Germany; National Center for Tumor Diseases, Partner Site Dresden, 01307 Dresden and German Cancer Research Center, Heidelberg, 69120 Heidelberg, Germany",Technische Universität Dresden,"01069 Dresden, Germany"
"Institute for Clinical Chemistry and Laboratory Medicine, Faculty of Medicine, Technische Universität Dresden, 01307 Dresden, Germany; National Center for Tumor Diseases, Partner Site Dresden, 01307 Dresden and German Cancer Research Center, Heidelberg, 69120 Heidelberg, Germany; Hull York Medical School, York Biomedical Research Institute, University of York, York, YO10 5DD, UK Electronic address: ioanniskourtzelis@yorkacuk",Technische Universität Dresden,"01069 Dresden, Germany"
"Department of Genomics and Immunoregulation, Life and Medical Science Institute, University of Bonn, 53115 Bonn, Germany",University of Bonn,"Karlrobert-Kreiten-Straße 13, 53115 Bonn, Germany"
"Department of Basic and Translational Sciences, Penn Dental Medicine, University of Pennsylvania, Philadelphia, PA, 19104, USA",University of Pennsylvania,"240 S 40th St, Philadelphia, PA 19104, USA"
"Laboratory of Immune Regulation and Tolerance, Autoimmunity and Inflammation, Biomedical Research Foundation of the Academy of Athens, 11527 Athens, Greece",Biomedical Research Foundation of the Academy of Athens,"4 Soranou Ephessiou Street, Athina 115 27, Greece"
"Institute for Clinical Chemistry and Laboratory Medicine, Faculty of Medicine, Technische Universität Dresden, 01307 Dresden, Germany",Technische Universität Dresden,"Fiedlerstraße 27, 01307 Dresden, Germany"
"DFG-Center for Regenerative Therapies Dresden, 01307 Dresden, Germany",Unparsed,"Fetscherstraße 105, 01307 Dresden, Germany"
"Max-Planck Institute of Molecular Cell Biology and Genetics, 01307 Dresden, Germany",Max-Planck Institute of Molecular Cell Biology and Genetics,"Pfotenhauerstraße 108, 01307 Dresden, Germany"
"DRESDEN-concept Genome Center, Center for Molecular and Cellular Bioengineering, Technische Universität Dresden, 01307 Dresden, Germany",Technische Universität Dresden,"01069 Dresden, Germany"
"Immunoregulation Group, Max Planck Institute of Biochemistry, 82152 Martinsried, Germany",Max Planck Institute of Biochemistry,"Am Klopferspitz 18, 82152 Planegg, Germany"
"Department of Genomics and Immunoregulation, Life and Medical Science Institute, University of Bonn, 53115 Bonn, Germany; PRECISE - Platform for Single Cell Genomics and Epigenomics at the German Center for Neurodegenerative Diseases and the University of Bonn, 53115 Bonn, Germany",University of Bonn,"Venusberg, 53127 Bonn, Germany"
"Department of Genomics and Immunoregulation, Life and Medical Science Institute, University of Bonn, 53115 Bonn, Germany; Department of Internal Medicine and Radboud Center for Infectious Diseases, Radboud University Medical Center, Nijmegen, 6525 XZ, the Netherlands",University of Bonn,"Regina-Pacis-Weg 3, 53113 Bonn, Germany"
"Institute for Clinical Chemistry and Laboratory Medicine, Faculty of Medicine, Technische Universität Dresden, 01307 Dresden, Germany; Laboratory of Immune Regulation and Tolerance, Autoimmunity and Inflammation, Biomedical Research Foundation of the Academy of Athens, 11527 Athens, Greece",Technische Universität Dresden,"01069 Dresden, Germany"
"Institute for Clinical Chemistry and Laboratory Medicine, Faculty of Medicine, Technische Universität Dresden, 01307 Dresden, Germany; Centre for Cardiovascular Science, Queen's Medical Research Institute, University of Edinburgh, Edinburgh, EH16 4TJ, UK Electronic address: triantafylloschavakis@uniklinikum-dresdende",Technische Universität Dresden,"01069 Dresden, Germany"
"Department of Pathology, Microbiology and Immunology, Vanderbilt University Medical Center, Nashville, TN; codylstothers@vanderbiltedu",Vanderbilt University Medical Center,"1161 Medical Center Dr, Nashville, TN 37240, USA"
"Department of Anesthesiology, Vanderbilt University Medical Center, Nashville, TN; and",Vanderbilt University Medical Center,"Nashville, TN 37232, USA"
"Department of Pathology, Microbiology and Immunology, Vanderbilt University Medical Center, Nashville, TN",Vanderbilt University Medical Center,"1161 Medical Center Dr, Nashville, TN 37240, USA"
"Center for Inflammation, Infectious Disease and Immunity, Department of Surgery, James H Quillen College of Medicine, East Tennessee State University, Johnson City, TN",East Tennessee State University,"1276 Gilbreath Dr, Johnson City, TN 37614, USA"
"Center of Excellence in Inflammation, Infectious Disease and Immunity, PO Box 70442, East Tennessee State University, Johnson City, TN, USA",East Tennessee State University,"615 N State of Franklin Rd, Johnson City, TN 37604, USA"
"NMR Centre, Advanced Analysis Centre, University of Guelph, Guelph, ON N1G 2W1 Canada",University of Guelph,"50 Stone Rd E, Guelph, ON N1G 2W1, Canada"
"Department of Biomedical Sciences, Quillen College of Medicine, East Tennessee State University, Johnson City, TN, USA",East Tennessee State University,"178 Maple Ave, Mountain Home, TN 37684, USA"
"Department of Biochemistry and Biophysics, University of Rochester Medical Center, Rochester, NY, USA",University of Rochester Medical Center,"601 Elmwood Ave, Rochester, NY 14642, USA"
"Grain Chemistry and Utilization Laboratory, National Small Grains and Potato Germplasm Research Unit, US Dept of Agriculture, Agricultural Research Service, 1691 S 2700 W, Aberdeen, ID 83210, USA Electronic address: Keshunliu@usdagov",Grain Chemistry and Utilization Laboratory,"1691 S 2700 W, Aberdeen, ID 83210, USA"
"Retired, formerly with Cereal Crops Research, US Dept of Agriculture, Agricultural Research Service, 502 Walnut St, Madison, WI 53726, USA",Unparsed,"502 Walnut St, Madison, WI 53726, USA"
"Medical College, Shaoguan University, Shaoguan 512026, China",Shaoguan University,"QGXQ+9X7, Wujiang District, Shaoguan, Shaoguan, Guangdong Province, China, 512029"
"School of Pharmaceutical Sciences (Shenzhen), Shenzhen Campus, Sun Yat-sen University, Shenzhen 518107, China",Sun Yat-sen University,"China, Guang Dong Sheng, Guang Zhou Shi, Hai Zhu Qu, Kang Le Lu, 中大西南区493 邮政编码: 510275"
"The Eighth Affiliated Hospital, Sun Yat-sen University, Shenzhen 518033, China",Sun Yat-sen University,"China, Shen Zhen Shi, Fu Tian Qu, CN 广东省 深圳市 福田区 1 层 邮政编码: 518039"
"RIKEN Cluster for Pioneering Research, Wako 351-0198, Saitama, Japan",RIKEN Cluster for Pioneering Research,"2-1 Hirosawa, Wako, Saitama 351-0198, Japan"
"Faculty of Biology and Biotechnology, National Research University Higher School of Economics, Moscow 117418, Russia",National Research University Higher School of Economics,"Myasnitskaya Ulitsa, 20, Moskva, Russia, 101000"
"Institute of Pharmacology, Shandong First Medical University and Shandong Academy of Medical Sciences, Taian, China",Shandong First Medical University and Shandong Academy of Medical Sciences,"China, Shan Dong Sheng, Tai An Shi, Dai Yue Qu, Nan Huan Lu, 长城路 邮政编码: 271000"
"Department of Pharmacology, School of Pharmacy, Qingdao University, Qingdao, China",Qingdao University,"3CCG+75G, Qing Da Lu, Lao Shan Qu, Qing Dao Shi, Shan Dong Sheng, China, 266100"
"College of Animal Science and Veterinary Medicine, Shandong Agricultural University, Tai-an City, China",Shandong Agricultural University,"61 Dai Zong Da Jie, Tai Shan Qu, Tai An Shi, Shan Dong Sheng, China, 271002"
"Jiangsu Key Laboratory of Immunity and Metabolism, Department of Pathogen Biology and Immunology, Xuzhou Medical University, Xuzhou, 221004, Jiangsu, China",Xuzhou Medical University,"Yunlong District, Xuzhou, China, 221004"
"Jiangsu Key Laboratory of Immunity and Metabolism, Department of Pathogen Biology and Immunology, Xuzhou Medical University, Xuzhou, 221004, Jiangsu, China yinghua@uoweduau",Xuzhou Medical University,"Yunlong District, Xuzhou, China, 221004"
"School of Medicine, University of Wollongong, Wollongong, NSW, 2522, Australia",University of Wollongong,"University of Wollongong, Building 28, Keiraville NSW 2522, Australia"
"Jiangsu Key Laboratory of Immunity and Metabolism, Department of Pathogen Biology and Immunology, Xuzhou Medical University, Xuzhou, 221004, Jiangsu, China zky02@163com",Xuzhou Medical University,"Yunlong District, Xuzhou, China, 221004"
"School of Medicine, University of Wollongong, Wollongong, NSW, 2522, Australia xhuang@uoweduau",University of Wollongong,"Northfields Ave, Wollongong NSW 2522, Australia"
"The Second Clinical Medical College, Xuzhou Medical University, Xuzhou, 221004, Jiangsu, China",Xuzhou Medical University,"Yunlong District, Xuzhou, China, 221004"
"Department of Anatomy, Basic Medical College, Xuzhou Medical University, Xuzhou, 221004, Jiangsu, China",Xuzhou Medical University,"Yunlong District, Xuzhou, China, 221004"
"The First Clinical Medical College, Xuzhou Medical University, Xuzhou, 221004, Jiangsu, China",Xuzhou Medical University,"Yunlong District, Xuzhou, China, 221004"
"Department of Pathology, Basic Medical College, Xuzhou Medical University, Xuzhou, 221004, Jiangsu, China",Xuzhou Medical University,"Yunlong District, Xuzhou, China, 221004"
"Jiangsu Key Laboratory of Immunity and Metabolism, Department of Pathogen Biology and Immunology, Xuzhou Medical University, Xuzhou, 221004, Jiangsu, China panwei525@126com",Xuzhou Medical University,"Yunlong District, Xuzhou, China, 221004"
"Jiangsu Key Laboratory of Immunity and Metabolism, Department of Pathogen Biology and Immunology, Xuzhou Medical University, Xuzhou, 221004, Jiangsu, China yxyxiaoliqq@163com",Xuzhou Medical University,"Yunlong District, Xuzhou, China, 221004"
"Department of Food and Nutrition, Sookmyung Women's University, Seoul 04310, Republic of Korea",Sookmyung Women's University,"South Korea, Seoul, Mapo-gu, 연남동 509-19"
"Risk Analysis Research Center, Sookmyung Women's University, Seoul 04310, Republic of Korea",Sookmyung Women's University,"South Korea, Seoul, Mapo-gu, 연남동 509-19"
"Department of Food & Nutrition, Dong-eui University, Busan 47340, Republic of Korea",Dong-eui University,"176 Eomgwang-ro, Busanjin-gu, Busan, South Korea"
"International Joint Research Laboratory for Probiotics, Jiangnan University, Wuxi, Jiangsu, China",Jiangnan University,"F7HG+RGJ, Li Hu Da Dao, Bin Hu Qu, Wu Xi Shi, Jiang Su Sheng, China, 214126"
"School of Food Science and Technology, Jiangnan University, Wuxi, Jiangsu, China",Jiangnan University,"China, Jiang Su Sheng, Wu Xi Shi, Bin Hu Qu, 三江路F7J9+68W 邮政编码: 214082"
"National Engineering Research Center for Functional Food, Jiangnan University, Wuxi, Jiangsu, China",Jiangnan University,"China, Jiang Su Sheng, Wu Xi Shi, Bin Hu Qu, 横二路F79C+GV8 邮政编码: 214082"
"Gut Health and Microbiome Institute Strategic Programme, Quadram Institute Bioscience, Norwich, UK",Gut Health and Microbiome Institute Strategic Programme,"University of California San Diego, Atkinson Hall, 9500 Gilman Dr, La Jolla, CA 92093, USA"
"Department of Agriculture, Forest and Food Sciences, University of Torino, Largo Paolo Braccini 2, 10095 Grugliasco, TO Italy",University of Torino,"Via Giuseppe Verdi, 8, 10124 Torino TO, Italy"
"Agroscope, Grazing Systems, Route de la Tioleyre 4, 1725 Posieux, Switzerland",Unparsed,"Rte de la Tioleyre 4, 1725 Posieux, Switzerland"
"Ente di Gestione delle Aree Protette delle Alpi Marittime, Piazza Regina Elena 30, 12010 Valdieri, CN Italy",Unparsed,"Piazza Regina Elena, 30, 12010 Valdieri CN, Italy"
"Department of Veterinary Sciences, University of Torino, Largo Paolo Braccini 2, 10095 Grugliasco, TO Italy",University of Torino,"Largo Paolo Braccini, 2, 10095 Grugliasco TO, Italy"
"Microbial Enzymology Lab, Department of Applied Sciences, Northumbria University, Newcastle Upon Tyne, NE1 8ST, Tyne & Wear, England, UK",Northumbria University,"Albert St, Shieldfield, Newcastle upon Tyne NE2 1YE, UK"
"School of Microbiology & APC Microbiome Ireland, University College Cork, Cork, Ireland",University College Cork,"Biosciences Institute, Biosciences Research Institute, College Rd, University College, Cork, Ireland"
"Microbial Enzymology Lab, Department of Applied Sciences, Northumbria University, Newcastle Upon Tyne, NE1 8ST, Tyne & Wear, England, UK josemunoz@northumbriaacuk",Northumbria University,"Albert St, Shieldfield, Newcastle upon Tyne NE2 1YE, UK"
"Department of Pathogen Biology, School of Basic Medicine, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, China",Huazhong University of Science and Technology,"China, Hu Bei Sheng, Wu Han Shi, Jiang An Qu, 三阳路 邮政编码: 430014"
"Department of Biochemistry and Molecular Biology, School of Basic Medicine, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, China",Huazhong University of Science and Technology,"1095 Jie Fang Da Dao, Qiao Kou Qu, Wu Han Shi, Hu Bei Sheng, China, 430032"
"Greater Bay Biomedical Innocenter, Shenzhen Bay Laboratory, Shenzhen, China",Shenzhen Bay Laboratory,"Shenzhen Bay, Futian District, Shenzhen, China"
"Department of Pathogen Biology, School of Basic Medicine, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, China minzhang@husteducn",Huazhong University of Science and Technology,"Wuchang District, Wuhan, China, 430071"
"School of Life Sciences, Southern University of Science and Technology, Shenzhen, China liuxt@sustecheducn",Southern University of Science and Technology,"China, Guang Dong Sheng, Shen Zhen Shi, Nan Shan Qu, 深大西路GWJM+WH3 邮政编码: 518056"
"Cell Architecture Research Center, Huazhong University of Science and Technology, Wuhan, China hongjun_yu@husteducn",Huazhong University of Science and Technology,"H7J6+7VV, Jie Fang Da Dao, Qiao Kou Qu, Wu Han Shi, Hu Bei Sheng, China, 430032"
"Departamento de Ecología, Facultad de Ciencias, Campus de Teatinos s/n, Universidad de Málaga, 29071 Málaga, Spain",Universidad de Málaga,"Pl. de El Ejido, 2, Distrito Centro, 29013 Málaga, Spain"
"Servicios Centrales de Apoyo a la Investigación (SCAI), Campus de Teatinos s/n, Universidad de Málaga, 29071 Málaga, Spain",Universidad de Málaga,"Blvr. Louis Pasteur, 33, Puerto de la Torre, 29010 Málaga, Spain"
"IBIMA (Biomedical Research Institute of Málaga), 29590 Málaga, Spain",IBIMA (Biomedical Research Institute of Málaga),"C. Severo Ochoa, 35, Campanillas, 29590 Málaga, Spain"
"Unidad de Desarrollo Tecnológico, Universidad de Concepción, Concepción 4190000, Chile",Universidad de Concepción,"Avenida Cordillera 2634 Parque Industrial Coronel Coronel, 4191996 Biobío, Coronel, Bío Bío, Chile"
"Departamento de Microbiología, Facultad de Medicina, Campus de Teatinos s/n, Universidad de Málaga, 29071 Málaga, Spain",Universidad de Málaga,"Campus Teatinos, Blvr. Louis Pasteur, 32, Puerto de la Torre, 29010 Málaga, Spain"
"Instituto de Ciências Ambientais, Químicas e Farmacêuticas, Universidade Federal de São Paulo, Diadema 09972-270, SP, Brazil",Universidade Federal de São Paulo,"R. Prof. Artur Riedel, 275 - Eldorado, Diadema - SP, 09972-270, Brazil"
"Instituto de Química, Universidade Federal de Catalão, Catalão 75705-220, GO, Brazil",Universidade Federal de Catalão,"Av. Dr. Lamartine Pinto de Avelar, 1120 - St. Universitario, Catalão - GO, 75704-020, Brazil"
"Instituto de Ciências Biomédicas, Universidade Federal de Alfenas, Alfenas 37130-001, MG, Brazil",Universidade Federal de Alfenas,"R. Gabriel Monteiro da Silva, 700 - Parque das Nações, Alfenas - MG, 37130-000, Brazil"
"Faculdade de Odontologia, Universidade Federal de Alfenas, Alfenas 37130-001, MG, Brazil",Universidade Federal de Alfenas,"R. Gabriel Monteiro da Silva, 676 - Parque das Nações, Alfenas - MG, 37130-000, Brazil"
"Departamento de Química Fundamental, Instituto de Química, Universidade de São Paulo, São Paulo 05508-070, SP, Brazil",Universidade de São Paulo,"Av. Prof. Lineu Prestes, 748 - Butantã, São Paulo - SP, 05508-900, Brazil"
"Medicine Departament, University Center of Planalto Central Aparecido dos Santos, Brasilia 72445-020, DF, Brazil",University Center of Planalto Central Aparecido dos Santos,"SIGA Área Especial para Indústria Lote 2/3 - Sce St. Leste Industrial - Gama, Brasília - DF, 72445-020, Brazil"
"IFungiLab, Subárea de Biologia (SAB), Departamento de Ciências da Natureza e Matemática (DCM), Campus São Paulo (SPO), Instituto Federal de Educação, Ciência e Tecnologia de São Paulo, São Paulo 01109-010, SP, Brazil",Instituto Federal de Educação,"Av. Glaycon de Paiva, 2496 - Pricumã, Boa Vista - RR, 69303-340, Brazil"
"Departmental Section of Galenic Pharmacy and Food Technology, Veterinary Faculty, Complutense University of Madrid, 28040 Madrid, Spain",Complutense University of Madrid,"Av. Complutense, s/n, Moncloa - Aravaca, 28040 Madrid, Spain"
"Materials Research Laboratories, Nissan Chemical Corporation, Chiba, Japan",Unparsed,"2-chōme-10-1 Tsuboinishi, Funabashi, Chiba 274-0062, Japan"
"Biological Research Laboratories, Nissan Chemical Corporation, Saitama, Japan",Unparsed,"2-chōme-10-1 Tsuboinishi, Funabashi, Chiba 274-0062, Japan"
"Head office, Nissan Chemical Corporation, Tokyo, Japan",Unparsed,"2-chōme-5-1 Nihonbashi, Chuo City, Tokyo 103-0027, Japan"
"Department of Creative Engineering, Material Chemistry Course, National Institute of Technology Kitakyushu College, Fukuoka, Japan",National Institute of Technology Kitakyushu College,"5-chōme-20-1 Shii, Kokuraminami Ward, Kitakyushu, Fukuoka 802-0985, Japan"
"Department of Biotechnology, School of Bioengineering, College of Engineering and Technology, SRM Institute of Science and Technology, Kattankulathur 603203, India",SRM Institute of Science and Technology,"R2FV+VHQ, Potheri, SRM Nagar, Kattankulathur, Tamil Nadu 603203, India"
