doi,author_name,given_name,family_name,keyword,pubmed_id,affiliation,institute,address
10.1038/s43705-023-00316-7,da Silva DMG,Daniela M. G.,da Silva,,,,,
10.1038/s43705-023-00316-7,Pedrosa FR,Filipa R.,Pedrosa,Chitinase,37838809,"Department of Bioengineering, Instituto Superior Técnico, University of Lisbon, Av. Rovisco Pais, 1049-001, Lisbon, Portugal.",University of Lisbon,"Av. Rovisco Pais 1, 1049-001 Lisboa, Portugal"
10.1038/s43705-023-00316-7,Ângela Taipa M,M.,Ângela Taipa,,,,,
10.1038/s43705-023-00316-7,Costa R,Rodrigo,Costa,,,,,
10.1038/s43705-023-00316-7,Keller-Costa T,Tina,Keller-Costa,,,,,
10.1186/s13071-023-05733-0,An S,Sha,An,Chitinase,37005671,"School of Clinical and Basic Medical Science, Shandong First Medical University (Shandong Academy of Medical Sciences), Jinan, 250117, China.",Shandong First Medical University (Shandong Academy of Medical Sciences),"89 Jing Shi Lu, Li Xia Qu, Ji Nan Shi, Shan Dong Sheng, China, 250062"
10.1186/s13071-023-05733-0,Liu W,Wenjuan,Liu,Chitinase,37005671,"School of Clinical and Basic Medical Science, Shandong First Medical University (Shandong Academy of Medical Sciences), Jinan, 250117, China.",Shandong First Medical University (Shandong Academy of Medical Sciences),"89 Jing Shi Lu, Li Xia Qu, Ji Nan Shi, Shan Dong Sheng, China, 250062"
10.1186/s13071-023-05733-0,Fu J,Jingwen,Fu,Chitinase,37005671,"School of Clinical and Basic Medical Science, Shandong First Medical University (Shandong Academy of Medical Sciences), Jinan, 250117, China.",Shandong First Medical University (Shandong Academy of Medical Sciences),"89 Jing Shi Lu, Li Xia Qu, Ji Nan Shi, Shan Dong Sheng, China, 250062"
10.1186/s13071-023-05733-0,Zhang Z,Zhong,Zhang,Chitinase,37005671,"School of Clinical and Basic Medical Science, Shandong First Medical University (Shandong Academy of Medical Sciences), Jinan, 250117, China. vector0518@126.com.",Shandong First Medical University (Shandong Academy of Medical Sciences),"China, Shan Dong Sheng, Tai An Shi, Dai Yue Qu, Nan Huan Lu, 长城路 邮政编码: 271000"
10.1186/s13071-023-05733-0,Zhang R,Ruiling,Zhang,Chitinase,37005671,"School of Laboratory Animal (Shandong Laboratory Animal Center), Shandong First Medical University (Shandong Academy of Medical Sciences), Jinan, 250117, China. zhangrl_06@126.com.",Shandong First Medical University (Shandong Academy of Medical Sciences),"China, Shan Dong Sheng, Tai An Shi, Dai Yue Qu, Nan Huan Lu, 长城路 邮政编码: 271000"
10.1038/s41598-023-47332-0,Capovilla G,Giovanna,Capovilla,Chitinase,37968300,"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA. gio.capovilla@gmail.com.",Massachusetts Institute of Technology,"77 Massachusetts Avenue, 1-290, Cambridge, MA 02139, USA"
10.1038/s41598-023-47332-0,Castro KG,Kurt G.,Castro,Chitinase,37968300,"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA.",Massachusetts Institute of Technology,"77 Massachusetts Avenue, 1-290, Cambridge, MA 02139, USA"
10.1038/s41598-023-47332-0,Collani S,Silvio,Collani,Chitinase,37968300,"Department of Fysiologisk Botanik, Umeå Plant Science Centre (UPSC), Umeå University, Umeå, Sweden.",Umeå University,"Parallellvägen 21, 907 36 Umeå, Sweden"
10.1038/s41598-023-47332-0,Kearney SM,Sean M.,Kearney,Chitinase,37968300,"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA.",Massachusetts Institute of Technology,"77 Massachusetts Avenue, 1-290, Cambridge, MA 02139, USA"
10.1038/s41598-023-47332-0,Kehoe DM,David M.,Kehoe,Chitinase,37968300,"Department of Biology, Indiana University, Bloomington, IN, USA.",Indiana University,"1001 E 3rd St, Bloomington, IN 47405, USA"
10.1038/s41598-023-47332-0,Chisholm SW,Sallie W.,Chisholm,Chitinase,37968300,"Department of Biology, Massachusetts Institute of Technology, Cambridge, MA, USA. chisholm@mit.edu.",Massachusetts Institute of Technology,"32 Vassar St, Cambridge, MA 02139, USA"
10.1002/alz.12612,Connolly K,Kevin,Connolly,Chitinase,35234337,"Graduate Program in Molecular Biology, Cell Biology, and Biochemistry, Brown University, Providence, Rhode Island, USA.",Brown University,"Providence, RI 02906, USA"
10.1002/alz.12612,Lehoux M,Mikael,Lehoux,Chitinase,35234337,"Department of Molecular Biology, Cell Biology, and Biochemistry, Brown University, Providence, Rhode Island, USA.",Brown University,"Providence, RI 02906, USA"
10.1002/alz.12612,O'Rourke R,Ryan,O'Rourke,Chitinase,35234337,"Graduate Program in Pathobiology, Brown University, Providence, Rhode Island, USA.",Brown University,"75 Waterman St, Providence, RI 02912, USA"
10.1002/alz.12612,Assetta B,Benedetta,Assetta,Chitinase,35234337,"Department of Molecular Biology, Cell Biology, and Biochemistry, Brown University, Providence, Rhode Island, USA.",Brown University,"Providence, RI 02906, USA"
10.1002/alz.12612,Erdemir GA,Guzide Ayse,Erdemir,Chitinase,35234337,"Department of Molecular Biology, Cell Biology, and Biochemistry, Brown University, Providence, Rhode Island, USA.",Brown University,"Providence, RI 02906, USA"
10.1002/alz.12612,Elias JA,Jack A,Elias,Chitinase,35234337,"Department of Molecular Microbiology and Immunology, Brown University, Providence, Rhode Island, USA.",Brown University,"Providence, RI 02906, USA"
10.1002/alz.12612,Lee CG,Chun Geun,Lee,Chitinase,35234337,"Department of Molecular Microbiology and Immunology, Brown University, Providence, Rhode Island, USA.",Brown University,"Providence, RI 02906, USA"
10.1002/alz.12612,Huang YA,Yu‐Wen Alvin,Huang,Chitinase,35234337,"Center for Translational Neuroscience, Robert J. and Nancy D. Carney Institute for Brain Science and Brown Institute for Translational Science, Brown University, Providence, Rhode Island, USA.",Brown University,"Brown University, 164 Angell St 4th floor, Providence, RI 02906, USA"
10.1183/16000617.0143-2019,Chang D,De,Chang,,,,,
10.1183/16000617.0143-2019,Sharma L,Lokesh,Sharma,,,,,
10.1183/16000617.0143-2019,Dela Cruz CS,Charles S.,Dela Cruz,Chitinase,32350087,"Section of Pulmonary and Critical Care and Sleep Medicine, Dept of Medicine, Yale University School of Medicine, New Haven, CT, USA charles.delacruz@yale.edu.",Yale University School of Medicine,"300 Cedar St #441, New Haven, CT 06520, USA"
10.1128/iai.00549-22,Devlin JR,Jason R.,Devlin,Chitinase,37255426,"Department of Microbiology and Immunology, University of Illinois Chicago, Chicago, Illinois, USA.",University of Illinois Chicago,"250 E Superior St #565, Chicago, IL 60611, USA"
10.1128/iai.00549-22,Behnsen J,Judith,Behnsen,Chitinase,37255426,"Department of Microbiology and Immunology, University of Illinois Chicago, Chicago, Illinois, USA.",University of Illinois Chicago,"250 E Superior St #565, Chicago, IL 60611, USA"
10.1007/s10886-021-01284-9,Han Y,Yang,Han,Chitinase,34056671,"The Pennsylvania State University, Plant Science, University Park, PA, USA.",The Pennsylvania State University,"103 Tyson Bldg, University Park, PA 16802, USA"
10.1007/s10886-021-01284-9,Taylor EB,Erin B.,Taylor,Chitinase,34056671,"Department of Physiology and Biophysics, The University of Mississippi Medical Center, Jackson, MS, 39216, USA.",The University of Mississippi Medical Center,"Emergency Room, 2500 N State St, Jackson, MS 39216, USA"
10.1007/s10886-021-01284-9,Luthe D,Dawn,Luthe,Chitinase,34056671,"The Pennsylvania State University, Plant Science, University Park, PA, USA. dsl14@psu.edu.",The Pennsylvania State University,"103 Tyson Bldg, University Park, PA 16802, USA"
10.1093/jambio/lxad141,Tran DM,Dinh Minh,Tran,Chitinase,37418242,"Institute of Biotechnology and Environment, Tay Nguyen University, Buon Ma Thuot, Dak Lak 630000, Vietnam.",Tay Nguyen University,"No 16 Trần Khát Chân, Street, Thành phố Buôn Ma Thuột, Đắk Lắk 630000, Vietnam"
10.1093/jambio/lxad141,Huynh TU,To Uyen,Huynh,Chitinase,37418242,"Institute of Biotechnology and Environment, Tay Nguyen University, Buon Ma Thuot, Dak Lak 630000, Vietnam.",Tay Nguyen University,"No 16 Trần Khát Chân, Street, Thành phố Buôn Ma Thuột, Đắk Lắk 630000, Vietnam"
10.1093/jambio/lxad141,Nguyen TH,Thi Huyen,Nguyen,Chitinase,37418242,"Institute of Biotechnology and Environment, Tay Nguyen University, Buon Ma Thuot, Dak Lak 630000, Vietnam.",Tay Nguyen University,"No 16 Trần Khát Chân, Street, Thành phố Buôn Ma Thuột, Đắk Lắk 630000, Vietnam"
10.1093/jambio/lxad141,Do TO,Tu Oanh,Do,Chitinase,37418242,"Institute of Biotechnology and Environment, Tay Nguyen University, Buon Ma Thuot, Dak Lak 630000, Vietnam.",Tay Nguyen University,"No 16 Trần Khát Chân, Street, Thành phố Buôn Ma Thuột, Đắk Lắk 630000, Vietnam"
10.1093/jambio/lxad141,Nguyen QV,Quang Vinh,Nguyen,Chitinase,37418242,"Institute of Biotechnology and Environment, Tay Nguyen University, Buon Ma Thuot, Dak Lak 630000, Vietnam.",Tay Nguyen University,"No 16 Trần Khát Chân, Street, Thành phố Buôn Ma Thuột, Đắk Lắk 630000, Vietnam"
10.1093/jambio/lxad141,Nguyen AD,Anh Dzung,Nguyen,Chitinase,37418242,"Institute of Biotechnology and Environment, Tay Nguyen University, Buon Ma Thuot, Dak Lak 630000, Vietnam.",Tay Nguyen University,"No 16 Trần Khát Chân, Street, Thành phố Buôn Ma Thuột, Đắk Lắk 630000, Vietnam"
10.1002/pro.4289,Kaur H,Hargobinder,Kaur,Chitinase,35481637,"Section of Infectious Diseases, Department of Internal Medicine, Yale School of Medicine, New Haven, Connecticut, USA.",Yale School of Medicine,"800 Howard Ave 4th floor, New Haven, CT 06519, USA"
10.1002/pro.4289,Garber L,Laine,Garber,Chitinase,35481637,"Section of Infectious Diseases, Department of Internal Medicine, Yale School of Medicine, New Haven, Connecticut, USA.",Yale School of Medicine,"800 Howard Ave 4th floor, New Haven, CT 06519, USA"
10.1002/pro.4289,Murphy JW,James W.,Murphy,Chitinase,35481637,"Department of Pharmacology, Yale University School of Medicine, New Haven, Connecticut, USA.",Yale University School of Medicine,"B208, 333 Cedar St Sterling Hall of Medicine, New Haven, CT 06510, USA"
10.1002/pro.4289,Vinetz JM,Joseph M.,Vinetz,Chitinase,35481637,"Section of Infectious Diseases, Department of Internal Medicine, Yale School of Medicine, New Haven, Connecticut, USA.",Yale School of Medicine,"800 Howard Ave 4th floor, New Haven, CT 06519, USA"
10.3389/fmicb.2023.1121720,Ran L,Lingman,Ran,Chitinase,37465025,"Frontiers Science Center for Deep Ocean Multispheres and Earth System, College of Marine Life Sciences, Ocean University of China, Qingdao, China.",Ocean University of China,"387P+466, Da Xue Lu, Shi Nan Qu, Qing Dao Shi, Shan Dong Sheng, China, 266005"
10.3389/fmicb.2023.1121720,Wang X,Xiaolei,Wang,Chitinase,37465025,"Frontiers Science Center for Deep Ocean Multispheres and Earth System, College of Marine Life Sciences, Ocean University of China, Qingdao, China.",Ocean University of China,"387P+466, Da Xue Lu, Shi Nan Qu, Qing Dao Shi, Shan Dong Sheng, China, 266005"
10.3389/fmicb.2023.1121720,He X,Xinxin,He,Chitinase,37465025,"Frontiers Science Center for Deep Ocean Multispheres and Earth System, College of Marine Life Sciences, Ocean University of China, Qingdao, China.",Ocean University of China,"387P+466, Da Xue Lu, Shi Nan Qu, Qing Dao Shi, Shan Dong Sheng, China, 266005"
10.3389/fmicb.2023.1121720,Guo R,Ruihong,Guo,Chitinase,37465025,"Frontiers Science Center for Deep Ocean Multispheres and Earth System, College of Marine Life Sciences, Ocean University of China, Qingdao, China.",Ocean University of China,"387P+466, Da Xue Lu, Shi Nan Qu, Qing Dao Shi, Shan Dong Sheng, China, 266005"
10.3389/fmicb.2023.1121720,Wu Y,Yanhong,Wu,Chitinase,37465025,"Frontiers Science Center for Deep Ocean Multispheres and Earth System, College of Marine Life Sciences, Ocean University of China, Qingdao, China.",Ocean University of China,"387P+466, Da Xue Lu, Shi Nan Qu, Qing Dao Shi, Shan Dong Sheng, China, 266005"
10.3389/fmicb.2023.1121720,Zhang P,Pingping,Zhang,Chitinase,37465025,"Frontiers Science Center for Deep Ocean Multispheres and Earth System, College of Marine Life Sciences, Ocean University of China, Qingdao, China.",Ocean University of China,"387P+466, Da Xue Lu, Shi Nan Qu, Qing Dao Shi, Shan Dong Sheng, China, 266005"
10.3389/fmicb.2023.1121720,Zhang X,Xiao-Hua,Zhang,,,,,
10.3390/plants12071543,He T,Tiannan,He,Chitinase,37050169,"College of Horticulture, Fujian Agriculture and Forestry University, Fuzhou 350002, China.",Fujian Agriculture and Forestry University,"China, Fu Jian Sheng, Fu Zhou Shi, Cang Shan Qu, 洪山桥上店 邮政编码: 350025"
10.3390/plants12071543,Fan J,Jianshuai,Fan,Chitinase,37050169,"College of Horticulture, Fujian Agriculture and Forestry University, Fuzhou 350002, China.",Fujian Agriculture and Forestry University,"China, Fu Jian Sheng, Fu Zhou Shi, Cang Shan Qu, 洪山桥上店 邮政编码: 350025"
10.3390/plants12071543,Jiao G,Gaozhen,Jiao,Chitinase,37050169,"College of Horticulture, Fujian Agriculture and Forestry University, Fuzhou 350002, China.",Fujian Agriculture and Forestry University,"China, Fu Jian Sheng, Fu Zhou Shi, Cang Shan Qu, 洪山桥上店 邮政编码: 350025"
10.3390/plants12071543,Liu Y,Yuhan,Liu,Chitinase,37050169,"College of Horticulture, Fujian Agriculture and Forestry University, Fuzhou 350002, China.",Fujian Agriculture and Forestry University,"China, Fu Jian Sheng, Fu Zhou Shi, Cang Shan Qu, 洪山桥上店 邮政编码: 350025"
10.3390/plants12071543,Zhang Q,Qimeng,Zhang,Chitinase,37050169,"College of Horticulture, Fujian Agriculture and Forestry University, Fuzhou 350002, China.",Fujian Agriculture and Forestry University,"China, Fu Jian Sheng, Fu Zhou Shi, Cang Shan Qu, 洪山桥上店 邮政编码: 350025"
10.3390/plants12071543,Luo N,Ning,Luo,Chitinase,37050169,"College of Horticulture, Fujian Agriculture and Forestry University, Fuzhou 350002, China.",Fujian Agriculture and Forestry University,"China, Fu Jian Sheng, Fu Zhou Shi, Cang Shan Qu, 洪山桥上店 邮政编码: 350025"
10.3390/plants12071543,Ahmad B,Bilal,Ahmad,Chitinase,37050169,"Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen 518120, China.",Agricultural Genomics Institute at Shenzhen,"China, Guang Dong Sheng, Shen Zhen Shi, Long Gang Qu, 15, 东北方向120米 邮政编码: 518120"
10.3390/plants12071543,Chen Q,Qingxi,Chen,Chitinase,37050169,"College of Horticulture, Fujian Agriculture and Forestry University, Fuzhou 350002, China.",Fujian Agriculture and Forestry University,"China, Fu Jian Sheng, Fu Zhou Shi, Cang Shan Qu, 洪山桥上店 邮政编码: 350025"
10.3390/plants12071543,Wen Z,Zhifeng,Wen,Chitinase,37050169,"College of Horticulture, Fujian Agriculture and Forestry University, Fuzhou 350002, China.",Fujian Agriculture and Forestry University,"China, Fu Jian Sheng, Fu Zhou Shi, Cang Shan Qu, 洪山桥上店 邮政编码: 350025"
10.3390/microorganisms11061387,Wang C,Chuan,Wang,β-Glucosidase,37374889,"Center for Anaerobic Microbes, Institute of Biology, Gansu Academy of Sciences, Lanzhou 730000, China.",Institute of Biology,"Institute of Biology, Diliman, Quezon City, Metro Manila, Philippines"
10.3390/microorganisms11061387,Yang Y,Yuze,Yang,β-Glucosidase,37374889,"Beijing Animal Husbandry Station, Beijing 100107, China.",Unparsed,"China, Bei Jing Shi, Chao Yang Qu, CN 北京市 朝阳区 北苑路 15 甲15号 邮政编码: 102218"
10.3390/microorganisms11061387,Ma C,Chunjuan,Ma,β-Glucosidase,37374889,"College of Veterinary Medicine, Gansu Agricultural University, Lanzhou 730070, China.",Gansu Agricultural University,"3MQX+8R5, Bei Bin He Xi Lu, An Ning Qu, Lan Zhou Shi, Gan Su Sheng, China, 730070"
10.3390/microorganisms11061387,Sunkang Y,Yongjie,Sunkang,β-Glucosidase,37374889,"College of Veterinary Medicine, Gansu Agricultural University, Lanzhou 730070, China.",Gansu Agricultural University,"3MQX+8R5, Bei Bin He Xi Lu, An Ning Qu, Lan Zhou Shi, Gan Su Sheng, China, 730070"
10.3390/microorganisms11061387,Tang S,Shaoqing,Tang,β-Glucosidase,37374889,"Beijing Animal Husbandry Station, Beijing 100107, China.",Unparsed,"China, Bei Jing Shi, Chao Yang Qu, CN 北京市 朝阳区 北苑路 15 甲15号 邮政编码: 102218"
10.3390/microorganisms11061387,Zhang Z,Zhao,Zhang,β-Glucosidase,37374889,"College of Veterinary Medicine, Gansu Agricultural University, Lanzhou 730070, China.",Gansu Agricultural University,"3MQX+8R5, Bei Bin He Xi Lu, An Ning Qu, Lan Zhou Shi, Gan Su Sheng, China, 730070"
10.3390/microorganisms11061387,Wan X,Xuerui,Wan,β-Glucosidase,37374889,"College of Veterinary Medicine, Gansu Agricultural University, Lanzhou 730070, China.",Gansu Agricultural University,"3MQX+8R5, Bei Bin He Xi Lu, An Ning Qu, Lan Zhou Shi, Gan Su Sheng, China, 730070"
10.3390/microorganisms11061387,Wei Y,Yaqin,Wei,β-Glucosidase,37374889,"Center for Anaerobic Microbes, Institute of Biology, Gansu Academy of Sciences, Lanzhou 730000, China.",Institute of Biology,"Institute of Biology, Diliman, Quezon City, Metro Manila, Philippines"
10.1021/acsomega.2c00139,Morsby JJ,Janeala J.,Morsby,β-Glucosidase,35224403,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA"
10.1021/acsomega.2c00139,Thimes RL,Rebekah L.,Thimes,β-Glucosidase,35224403,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA"
10.1021/acsomega.2c00139,Olson JE,Jacob E.,Olson,β-Glucosidase,35224403,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA"
10.1021/acsomega.2c00139,McGarraugh HH,Hannah H.,McGarraugh,β-Glucosidase,35224403,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA"
10.1021/acsomega.2c00139,Payne JN,Jason N.,Payne,β-Glucosidase,35224403,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA"
10.1021/acsomega.2c00139,Camden JP,Jon P.,Camden,β-Glucosidase,35224403,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA"
10.1021/acsomega.2c00139,Smith BD,Bradley D.,Smith,β-Glucosidase,35224403,"Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556-5670, Unites States.",University of Notre Dame,"Holy Cross Dr, Notre Dame, IN 46556, USA"
10.1371/journal.pone.0286609,Burgess ER,Edwin R.,Burgess,β-Glucosidase,37643188,"Entomology and Nematology Department, University of Florida, Gainesville, FL, United States of America.",University of Florida,"1881 Natural Area Dr, Gainesville, FL 32608, USA"
10.1371/journal.pone.0286609,Sanscrainte ND,Neil D.,Sanscrainte,β-Glucosidase,37643188,"USDA-ARS Center for Medical, Agricultural, and Veterinary Entomology, Gainesville, FL, United States of America.",Unparsed,"USDA01, 1600 SW 23 Dr, Gainesville, FL 32608, USA"
10.1371/journal.pone.0286609,Taylor CE,Caitlin E.,Taylor,β-Glucosidase,37643188,"Entomology and Nematology Department, University of Florida, Gainesville, FL, United States of America.",University of Florida,"1881 Natural Area Dr, Gainesville, FL 32608, USA"
10.1371/journal.pone.0286609,Buss LJ,Lyle J.,Buss,β-Glucosidase,37643188,"Entomology and Nematology Department, University of Florida, Gainesville, FL, United States of America.",University of Florida,"1881 Natural Area Dr, Gainesville, FL 32608, USA"
10.1371/journal.pone.0286609,Estep AS,Alden S.,Estep,β-Glucosidase,37643188,"USDA-ARS Center for Medical, Agricultural, and Veterinary Entomology, Gainesville, FL, United States of America.",Unparsed,"USDA01, 1600 SW 23 Dr, Gainesville, FL 32608, USA"
10.1038/s41598-023-32353-6,Singh N,Nivisti,Singh,Glucosidase,36991150,"Discipline of Microbiology, School of Life Sciences, Westville Campus, University of KwaZulu-Natal, Durban, South Africa. nivistisingh@gmail.com.",University of KwaZulu-Natal,"238 Mazisi Kunene Rd, Glenwood, Durban, 4041, South Africa"
10.1038/s41598-023-32353-6,Sithole B,Bruce,Sithole,Glucosidase,36991150,"Biorefinery Industry Development Facility, Council for Scientific and Industrial Research, Durban, South Africa.",Unparsed,"395 Mazisi Kunene Rd, University, Berea, 4041, South Africa"
10.1038/s41598-023-32353-6,Kumar A,Ajit,Kumar,Glucosidase,36991150,"Discipline of Microbiology, School of Life Sciences, Westville Campus, University of KwaZulu-Natal, Durban, South Africa.",University of KwaZulu-Natal,"Pitlochry Rd, Dawncrest, Westville, 3629, South Africa"
10.1038/s41598-023-32353-6,Govinden R,Roshini,Govinden,Glucosidase,36991150,"Discipline of Microbiology, School of Life Sciences, Westville Campus, University of KwaZulu-Natal, Durban, South Africa.",University of KwaZulu-Natal,"Pitlochry Rd, Dawncrest, Westville, 3629, South Africa"
10.3390/molecules28186548,Khushal A,Aneela,Khushal,Glucosidase,37764324,"Department of Chemistry, COMSATS University Islamabad, Abbottabad Campus, Abbottabad 22060, Pakistan.",COMSATS University Islamabad,"hostel city Line 12, Park Rd, Islamabad, Islamabad Capital Territory 45550, Pakistan"
10.3390/molecules28186548,Farooq U,Umar,Farooq,Glucosidase,37764324,"Beijing National Laboratory for Molecular Sciences, State Key Laboratory of Molecular Reaction Dynamics, Institute of Chemistry, Chinese Academy of Sciences, Beijing 100190, China.",Institute of Chemistry,"Medical Sciences D, Irvine, CA 92617, USA"
10.3390/molecules28186548,Khan S,Sara,Khan,Glucosidase,37764324,"Department of Chemistry, COMSATS University Islamabad, Abbottabad Campus, Abbottabad 22060, Pakistan.",COMSATS University Islamabad,"hostel city Line 12, Park Rd, Islamabad, Islamabad Capital Territory 45550, Pakistan"
10.3390/molecules28186548,Rasul A,Azhar,Rasul,Glucosidase,37764324,"Department of Zoology, GC University Faisalabad, Faisalabad 38000, Pakistan.",GC University Faisalabad,"Government College University, Zoology Block, Gurunanakpura, Faisalabad, Punjab 38000, Pakistan"
10.3390/molecules28186548,Wani TA,Tanveer A.,Wani,Glucosidase,37764324,"Department of Pharmaceutical Chemistry, College of Pharmacy, King Saud University, P.O. Box 2457, Riyadh 11451, Saudi Arabia.",King Saud University,"JMMH+8P8, Amr Ibn Alaas St, Ulaishah, Riyadh 12743, Saudi Arabia"
10.3390/molecules28186548,Zargar S,Seema,Zargar,Glucosidase,37764324,"Department of Biochemistry, College of Science, King Saud University, P.O. Box 22452, Riyadh 11451, Saudi Arabia.",King Saud University,"JMMH+8P8, Amr Ibn Alaas St, Ulaishah, Riyadh 12743, Saudi Arabia"
10.3390/molecules28186548,Shahzad SA,Sohail Anjum,Shahzad,Glucosidase,37764324,"Department of Chemistry, COMSATS University Islamabad, Abbottabad Campus, Abbottabad 22060, Pakistan.",COMSATS University Islamabad,"hostel city Line 12, Park Rd, Islamabad, Islamabad Capital Territory 45550, Pakistan"
10.3390/molecules28186548,Bukhari SM,Syed Majid,Bukhari,Glucosidase,37764324,"Department of Chemistry, COMSATS University Islamabad, Abbottabad Campus, Abbottabad 22060, Pakistan.",COMSATS University Islamabad,"hostel city Line 12, Park Rd, Islamabad, Islamabad Capital Territory 45550, Pakistan"
10.3390/molecules28186548,Khan NA,Nazeer Ahmad,Khan,Glucosidase,37764324,"Department of Chemistry, COMSATS University Islamabad, Abbottabad Campus, Abbottabad 22060, Pakistan.",COMSATS University Islamabad,"hostel city Line 12, Park Rd, Islamabad, Islamabad Capital Territory 45550, Pakistan"
10.1186/s12882-023-03262-7,Liu X,Xiao,Liu,Glucosaminidase,37452282,"Department of Nephrology, Zhongshan Hospital, Fudan University, No.180, Fenglin Road, Xuhui District, Shanghai, 200032, China.",Fudan University,"180 Feng Lin Lu, Xu Hui Qu, Shang Hai Shi, China, 200031"
10.1186/s12882-023-03262-7,Gong S,Shaomin,Gong,Glucosaminidase,37452282,"Department of Nephrology, Zhongshan Hospital, Fudan University, No.180, Fenglin Road, Xuhui District, Shanghai, 200032, China.",Fudan University,"180 Feng Lin Lu, Xu Hui Qu, Shang Hai Shi, China, 200031"
10.1186/s12882-023-03262-7,Ning Y,Yichun,Ning,Glucosaminidase,37452282,"Department of Nephrology, Zhongshan Hospital, Fudan University, No.180, Fenglin Road, Xuhui District, Shanghai, 200032, China.",Fudan University,"180 Feng Lin Lu, Xu Hui Qu, Shang Hai Shi, China, 200031"
10.1186/s12882-023-03262-7,Li Y,Yang,Li,Glucosaminidase,37452282,"Department of Nephrology, Zhongshan Hospital, Fudan University, No.180, Fenglin Road, Xuhui District, Shanghai, 200032, China.",Fudan University,"180 Feng Lin Lu, Xu Hui Qu, Shang Hai Shi, China, 200031"
10.1186/s12882-023-03262-7,Zhou H,Huili,Zhou,Glucosaminidase,37452282,"Department of Nephrology, Zhongshan Hospital, Fudan University, No.180, Fenglin Road, Xuhui District, Shanghai, 200032, China.",Fudan University,"180 Feng Lin Lu, Xu Hui Qu, Shang Hai Shi, China, 200031"
10.1186/s12882-023-03262-7,He L,Luna,He,Glucosaminidase,37452282,"Department of Nephrology, Zhongshan Hospital, Fudan University, No.180, Fenglin Road, Xuhui District, Shanghai, 200032, China.",Fudan University,"180 Feng Lin Lu, Xu Hui Qu, Shang Hai Shi, China, 200031"
10.1186/s12882-023-03262-7,Lin L,Lin,Lin,Glucosaminidase,37452282,"Department of Nephrology, Zhongshan Hospital, Fudan University, No.180, Fenglin Road, Xuhui District, Shanghai, 200032, China.",Fudan University,"180 Feng Lin Lu, Xu Hui Qu, Shang Hai Shi, China, 200031"
10.1186/s12882-023-03262-7,Jin S,Shi,Jin,Glucosaminidase,37452282,"Department of Nephrology, Zhongshan Hospital, Fudan University, No.180, Fenglin Road, Xuhui District, Shanghai, 200032, China.",Fudan University,"180 Feng Lin Lu, Xu Hui Qu, Shang Hai Shi, China, 200031"
10.1186/s12882-023-03262-7,Shen Z,Ziyan,Shen,Glucosaminidase,37452282,"Department of Nephrology, Zhongshan Hospital, Fudan University, No.180, Fenglin Road, Xuhui District, Shanghai, 200032, China.",Fudan University,"180 Feng Lin Lu, Xu Hui Qu, Shang Hai Shi, China, 200031"
10.1186/s12882-023-03262-7,Zhu B,Bowen,Zhu,Glucosaminidase,37452282,"Department of Nephrology, Zhongshan Hospital, Fudan University, No.180, Fenglin Road, Xuhui District, Shanghai, 200032, China.",Fudan University,"180 Feng Lin Lu, Xu Hui Qu, Shang Hai Shi, China, 200031"
10.1186/s12882-023-03262-7,Li F,Fang,Li,Glucosaminidase,37452282,"Department of Nephrology, Zhongshan Hospital, Fudan University, No.180, Fenglin Road, Xuhui District, Shanghai, 200032, China.",Fudan University,"180 Feng Lin Lu, Xu Hui Qu, Shang Hai Shi, China, 200031"
10.1186/s12882-023-03262-7,Li J,Jie,Li,Glucosaminidase,37452282,"Department of Nephrology, Zhongshan Hospital, Fudan University, No.180, Fenglin Road, Xuhui District, Shanghai, 200032, China.",Fudan University,"180 Feng Lin Lu, Xu Hui Qu, Shang Hai Shi, China, 200031"
