,name,affiliations,email,website,interests,thumbnail
128,BingHua Jiang,Professor,Verified email at jefferson.edu,,"[{'title': 'Cancer', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:cancer', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Acancer'}, {'title': 'Carcinogenesis', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:carcinogenesis', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Acarcinogenesis'}, {'title': 'Angiogenesis', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:angiogenesis', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aangiogenesis'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=785fGFsAAAAJ&citpid=2
129,Abraham Korol,"Professor of Genetics, University of Haifa",Verified email at evo.haifa.ac.il,http://www.evolution.haifa.ac.il/,"[{'title': 'genomics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:genomics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agenomics'}, {'title': 'genetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:genetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agenetics'}, {'title': 'evolution', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:evolution', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aevolution'}, {'title': 'bioinformatics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:bioinformatics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abioinformatics'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
130,Sariel Hubner,"Galilee Research Institute, Tel-Hai Academic College",Verified email at migal.org.il,,"[{'title': 'evolutionary genomics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:evolutionary_genomics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aevolutionary_genomics'}, {'title': 'population genetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:population_genetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Apopulation_genetics'}, {'title': 'molecular ecology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:molecular_ecology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amolecular_ecology'}, {'title': 'crop wild relatives', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:crop_wild_relatives', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Acrop_wild_relatives'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yqB4jesAAAAJ&citpid=1
131,Alvaro G. Hernandez,"Director of DNA Services, University of Illinois at Urbana-Champaign",Verified email at illinois.edu,http://www.biotech.illinois.edu/,"[{'title': 'DNA Sequencing', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:dna_sequencing', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Adna_sequencing'}, {'title': 'genome assembly', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:genome_assembly', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agenome_assembly'}]",https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=NVvwHRAAAAAJ&citpid=2
132,ka wai Leong,Dana-Farber Cancer Institute,Verified email at dfci.harvard.edu,,,https://scholar.google.com/citations/images/avatar_scholar_128.png
133,Fangyan Yu,Harvard Medical School,Verified email at dfci.harvard.edu,,,https://scholar.google.com/citations/images/avatar_scholar_128.png
134,G. Mike Makrigiorgos,"Professor of Radiation Oncology, Dana Farber Cancer Institute, Harvard Medical School",Verified email at dfci.harvard.edu,http://www.dfhcc.harvard.edu/insider/member-detail/member/g-mike-makrigiorgos-phd/,"[{'title': 'Radiation Oncology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:radiation_oncology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aradiation_oncology'}, {'title': 'DNA technology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:dna_technology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Adna_technology'}, {'title': 'Biophysics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biophysics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiophysics'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=H6AUXxEAAAAJ&citpid=6
135,Wei Shen,Jiangsu University of Science and Technology,Verified email at u.nus.edu,,"[{'title': 'Analytical Chemsitry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:analytical_chemsitry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aanalytical_chemsitry'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=C2qP6fUAAAAJ&citpid=2
136,Zhiqiang Gao,National University of Singapore,Verified email at nus.edu.sg,,"[{'title': 'Analytical Chemistry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:analytical_chemistry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aanalytical_chemistry'}, {'title': 'Materials Science', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:materials_science', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amaterials_science'}, {'title': 'Biosensors', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biosensors', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiosensors'}, {'title': 'Nanotechnology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nanotechnology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ananotechnology'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Aeqt79EAAAAJ&citpid=3
137,Kuanwei Sheng,"Postdoc Fellow, Wyss Institute at Harvard University",Verified email at wyss.harvard.edu,,"[{'title': 'Single-cell Technology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:single_cell_technology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Asingle_cell_technology'}, {'title': 'Spatial profiling', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:spatial_profiling', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aspatial_profiling'}, {'title': 'Multiplex Imaging', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:multiplex_imaging', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amultiplex_imaging'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-VXhZSYAAAAJ&citpid=3
138,Yichi Niu,Baylor College of Medicine,Verified email at bcm.edu,,"[{'title': 'Single cell omics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:single_cell_omics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Asingle_cell_omics'}, {'title': 'Cell biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:cell_biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Acell_biology'}, {'title': 'Epigenetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:epigenetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aepigenetics'}, {'title': 'Cancer biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:cancer_biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Acancer_biology'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
139,Qing Deng,The University of Texas MD Anderson Cancer Center,Verified email at mdanderson.org,,"[{'title': 'Cancer Immunobiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:cancer_immunobiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Acancer_immunobiology'}, {'title': 'Epigenetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:epigenetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aepigenetics'}, {'title': 'B Cell Lymphoma', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:b_cell_lymphoma', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ab_cell_lymphoma'}, {'title': 'Experimental Immunotherapy', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:experimental_immunotherapy', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aexperimental_immunotherapy'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=s5534boAAAAJ&citpid=16
140,Chenghang (Chuck) Zong,Baylor College of Medicine,Verified email at bcm.edu,https://www.bcm.edu/genetics/index.cfm?pmid=25293,"[{'title': 'Single-Cell genome and transcriptome', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:single_cell_genome_and_transcriptome', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Asingle_cell_genome_and_transcriptome'}, {'title': 'Tumorigenesis and evolution', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:tumorigenesis_and_evolution', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Atumorigenesis_and_evolution'}, {'title': 'Damagenome', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:damagenome', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Adamagenome'}, {'title': 'Synaptome', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:synaptome', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Asynaptome'}, {'title': 'Connectome', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:connectome', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aconnectome'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=7ye2i_oAAAAJ&citpid=3
141,Dragana Gagic,"Senior Lecturer in Microbiology, Massey University",Verified email at massey.ac.nz,,"[{'title': 'Microbial ecology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbial_ecology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobial_ecology'}, {'title': 'Microbiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobiology'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GrPyiwYAAAAJ&citpid=1
142,Olof Emanuelsson,"Associate professor, Royal Institute of Technology (KTH), Stockholm",Verified email at kth.se,,"[{'title': 'Bioinformatics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:bioinformatics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abioinformatics'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=CQdpP5UAAAAJ&citpid=2
143,Chen Song,"Dana-Farber Cancer Institute, Harvard Medical School",Verified email at lroc.harvard.edu,,,https://scholar.google.com/citations/images/avatar_scholar_128.png
144,Yibin Liu,Wuhan University,Verified email at whu.edu.cn,,"[{'title': 'Epigenetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:epigenetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aepigenetics'}, {'title': 'DNA', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:dna', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Adna'}, {'title': 'nanoparticles', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nanoparticles', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ananoparticles'}, {'title': 'PCR', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:pcr', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Apcr'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LabzLN8AAAAJ&citpid=2
145,Rachel Fontana,Unknown affiliation,Verified email at husky.neu.edu,,,https://scholar.google.com/citations/images/avatar_scholar_128.png
146,Michael W. Fried,"Professor of Medicine, University of North Carolina",Verified email at med.unc.edu,,"[{'title': 'Hepatology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:hepatology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ahepatology'}, {'title': 'Viral Hepatitis', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:viral_hepatitis', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aviral_hepatitis'}, {'title': 'Real-World Evidence', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:real_world_evidence', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Areal_world_evidence'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DuOqj8YAAAAJ&citpid=1
147,"Xiaofeng Cui, Ph.D.",Wuhan University of Technology,Verified email at whut.edu.cn,,"[{'title': '3D Bioprinting', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:3d_bioprinting', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3A3d_bioprinting'}, {'title': 'Biomaterials', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biomaterials', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiomaterials'}, {'title': 'Stem cells', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:stem_cells', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Astem_cells'}, {'title': 'Tssue engineering', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:tssue_engineering', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Atssue_engineering'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ffWZcA8AAAAJ&citpid=9
148,Marianne C Kramer,Donald Danforth Plant Science Center,Verified email at danforthcenter.org,,"[{'title': 'RNA Biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:rna_biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Arna_biology'}, {'title': 'Transposable elements', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:transposable_elements', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Atransposable_elements'}, {'title': 'Non-coding RNA', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:non_coding_rna', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Anon_coding_rna'}, {'title': 'Genomics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:genomics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agenomics'}, {'title': 'Epigenetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:epigenetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aepigenetics'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kPj2alEAAAAJ&citpid=1
149,Brian D. Gregory,"Professor of Biology, University of Pennsylavania",Verified email at sas.upenn.edu,,"[{'title': 'RNA biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:rna_biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Arna_biology'}, {'title': 'Genomics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:genomics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agenomics'}, {'title': 'Computational Biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:computational_biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Acomputational_biology'}, {'title': 'Genetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:genetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agenetics'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
150,"Basavaraj Bagewadi, Ph D","University of Agricultural Sciences, Dharwad, India",Verified email at uasd.in,,"[{'title': 'Plant Biotechnology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:plant_biotechnology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aplant_biotechnology'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=3mkLCrYAAAAJ&citpid=12
151,Fangyan Yu,Harvard Medical School,Verified email at dfci.harvard.edu,,,https://scholar.google.com/citations/images/avatar_scholar_128.png
152,ka wai Leong,Dana-Farber Cancer Institute,Verified email at dfci.harvard.edu,,,https://scholar.google.com/citations/images/avatar_scholar_128.png
153,G. Mike Makrigiorgos,"Professor of Radiation Oncology, Dana Farber Cancer Institute, Harvard Medical School",Verified email at dfci.harvard.edu,http://www.dfhcc.harvard.edu/insider/member-detail/member/g-mike-makrigiorgos-phd/,"[{'title': 'Radiation Oncology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:radiation_oncology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aradiation_oncology'}, {'title': 'DNA technology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:dna_technology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Adna_technology'}, {'title': 'Biophysics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biophysics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiophysics'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=H6AUXxEAAAAJ&citpid=6
154,Kenneth Wasmund,"Lecturer, University of Portsmouth, UK.",Verified email at port.ac.uk,,"[{'title': 'Environmental microbiology. Microbial genomics.', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:environmental_microbiology_microbial_genomics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aenvironmental_microbiology_microbial_genomics'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=P6jH9UcAAAAJ&citpid=1
155,Lars Schreiber,"Research Officer, NRC, Canada",Verified email at nrccnrc.gc.ca,,"[{'title': 'microbial genomics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbial_genomics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobial_genomics'}, {'title': 'symbiosis', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:symbiosis', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Asymbiosis'}, {'title': 'bioinformatics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:bioinformatics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abioinformatics'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=y82gQXQAAAAJ&citpid=3
156,Karen Lloyd,"Department of Microbiology, University of Tennessee, Knoxville",Verified email at utk.edu,http://lloydlab.utk.edu/,,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=cwNS_2EAAAAJ&citpid=1
157,Karen Meusemann,"Leibniz Institute for the Analysis of Biodiversity Change (LIB), Museum Koenig (ZFMK)",Verified email at karenmeusemann.de,,"[{'title': 'Evolutionary Biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:evolutionary_biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aevolutionary_biology'}, {'title': 'Phylogenomics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:phylogenomics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aphylogenomics'}, {'title': 'Zoology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:zoology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Azoology'}, {'title': 'Biodiversity', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biodiversity', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiodiversity'}, {'title': 'Systematics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:systematics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Asystematics'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=uK45QqgAAAAJ&citpid=7
158,Janus Borner,"Postdoctoral Fellow, American Museum of Natural History",Verified email at amnh.org,,,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=YPY90iUAAAAJ&citpid=1
159,Koki Kamiya,Gunma University,Verified email at gunmau.ac.jp,http://kamiya.chem-bio.st.gunma-u.ac.jp/index.html,"[{'title': 'Biochemistry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biochemistry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiochemistry'}, {'title': 'Vesicles', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:vesicles', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Avesicles'}, {'title': 'Membrane protein', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:membrane_protein', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amembrane_protein'}, {'title': 'Artificial cell', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:artificial_cell', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aartificial_cell'}, {'title': 'Micro device', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:micro_device', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicro_device'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
160,Toshihisa OSAKI,Kanagawa Institute of Industrial Science and Technology,Verified email at iis.utokyo.ac.jp,,"[{'title': 'Surface chemistry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:surface_chemistry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Asurface_chemistry'}, {'title': 'Physical chemistry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:physical_chemistry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aphysical_chemistry'}, {'title': 'Materials science', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:materials_science', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amaterials_science'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
161,Shawn W Foley,GlaxoSmithKline,Verified email at gsk.com,https://www.linkedin.com/in/shawn-w-foley-34683b96/,"[{'title': 'Cancer Epigenetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:cancer_epigenetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Acancer_epigenetics'}, {'title': 'Biomarkers', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biomarkers', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiomarkers'}, {'title': 'RNA', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:rna', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Arna'}, {'title': 'Plant Biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:plant_biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aplant_biology'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
